"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_2449"	2956941	2957723	"-"	"ACL76778.1"	"conserved hypothetical protein"	783	260	NA	NA	""	"---NA---"	2956941
"Ccel_2450"	2957892	2959256	"+"	"ACL76779.1"	"pyridoxal-phosphate dependent TrpB-like enzyme"	1365	454	5	"F:tryptophan synthase activity; F:pyridoxal phosphate binding; P:L-phenylalanine biosynthetic process; P:tryptophan biosynthetic process; P:tyrosine biosynthetic process"	"EC:4.2.1.20"	"---NA---"	2957892
"Ccel_2451"	2959323	2961383	"-"	"ACL76780.1"	"Glycoside hydrolase family 42 domain protein"	2061	686	7	"P:glycerolipid metabolic process; F:metal ion binding; C:beta-galactosidase complex; P:galactose metabolic process; F:beta-galactosidase activity; P:glycosaminoglycan catabolic process; P:glycosphingolipid metabolic process"	"EC:3.2.1.23; EC:3.2.1"	"beta-galactosidase"	2959323
"Ccel_2452"	2961376	2962905	"-"	"ACL76781.1"	"two component transcriptional regulator, AraC family"	1530	509	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"DNA-binding response regulator"	2961376
"Ccel_2453"	2962883	2964721	"-"	"ACL76782.1"	"histidine kinase"	1839	612	7	"F:phosphorelay sensor kinase activity; F:ATP binding; C:protein histidine kinase complex; P:phosphorelay signal transduction system; C:integral component of membrane; P:signal transduction by protein phosphorylation; C:intracellular"	"EC:2.7.3; EC:2.7.13.3"	"histidine kinase"	2962883
"Ccel_2454"	2964821	2966956	"-"	"ACL76783.1"	"glycoside hydrolase family 3 domain protein"	2136	711	2	"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds"	""	"glycosyl hydrolase"	2964821
"Ccel_2455"	2966986	2969298	"-"	"ACL76784.1"	"glycoside hydrolase family 31"	2313	770	3	"P:carbohydrate metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding"	""	"alpha-xylosidase"	2966986
"Ccel_2456"	2969593	2970543	"+"	"ACL76785.1"	"binding-protein-dependent transport systems inner membrane component"	951	316	3	"C:integral component of membrane; P:transport; C:plasma membrane"	""	"ABC transporter permease"	2969593
"Ccel_2457"	2970569	2971492	"+"	"ACL76786.1"	"binding-protein-dependent transport systems inner membrane component"	924	307	3	"C:integral component of membrane; P:carbohydrate transport; C:plasma membrane"	""	"ABC transporter permease"	2970569
"Ccel_2458"	2971590	2973356	"+"	"ACL76787.1"	"extracellular solute-binding protein family 1"	1767	588	2	"P:carbohydrate transport; F:transporter activity"	""	"ABC transporter substrate-binding"	2971590
"Ccel_2459"	2973387	2974157	"-"	"ACL76788.1"	"protein of unknown function DUF218"	771	256	1	"C:integral component of membrane"	""	"Integral membrane"	2973387
"Ccel_2460"	2974183	2974830	"-"	"ACL76789.1"	"hypothetical protein"	648	215	1	"C:integral component of membrane"	""	"germination [[Clostridium] termitidis]"	2974183
"Ccel_2461"	2974864	2975622	"-"	"ACL76790.1"	"acyl-ACP thioesterase"	759	252	4	"C:fatty acid synthase complex; P:acyl-carrier-protein biosynthetic process; F:acyl-[acyl-carrier-protein] hydrolase activity; P:fatty acid biosynthetic process"	"EC:2.3.1.85; EC:3.1.2.14"	"acyl-ACP thioesterase"	2974864
"Ccel_2462"	2975649	2976218	"-"	"ACL76791.1"	"signal peptidase I"	570	189	3	"P:proteolysis; C:integral component of membrane; F:serine-type peptidase activity"	""	"signal peptidase I"	2975649
"Ccel_2463"	2976476	2978290	"-"	"ACL76792.1"	"Pyrrolo-quinoline quinone"	1815	604	1	"C:integral component of membrane"	""	"pyrrolo-quinoline quinone ["	2976476
"Ccel_2464"	2978314	2980131	"-"	"ACL76793.1"	"Pyrrolo-quinoline quinone"	1818	605	1	"C:integral component of membrane"	""	"pyrrolo-quinoline quinone ["	2978314
"Ccel_2465"	2980408	2983017	"+"	"ACL76794.1"	"ATPase, P-type (transporting), HAD superfamily, subfamily IC"	2610	869	7	"F:ATP binding; F:metal ion binding; C:sarcoplasmic reticulum; P:metabolic process; C:integral component of membrane; P:calcium ion transmembrane transport; F:calcium-transporting ATPase activity"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.3.8; EC:3.6.1.15"	"ATPase"	2980408
"Ccel_2466"	2983101	2983229	"+"	"ACL76795.1"	"hypothetical protein"	129	42	NA	NA	""	"hypothetical protein Ccel_2466 ["	2983101
"Ccel_2467"	2983299	2985023	"-"	"ACL76796.1"	"hydrogenase, Fe-only"	1725	574	13	"P:proton transport; P:mitochondrial electron transport, NADH to ubiquinone; C:ferredoxin hydrogenase complex; F:electron carrier activity; F:NADH dehydrogenase (ubiquinone) activity; P:ubiquinone biosynthetic process; P:sodium ion transport; P:obsolete electron transport; F:ferredoxin hydrogenase activity; F:iron ion binding; F:hydrogen dehydrogenase (NADP+) activity; C:membrane; F:iron-sulfur cluster binding"	"EC:1.12.7; EC:1.6.99.5; EC:1.6.99.3; EC:1.12.1.3; EC:1.12.1; EC:1.12.7.2; EC:1.6.5.3"	"ferredoxin ["	2983299
"Ccel_2469"	2987222	2989102	"-"	"ACL76797.1"	"DNA mismatch repair protein MutS domain protein"	1881	626	4	"F:ATP binding; C:integral component of membrane; P:mismatch repair; F:mismatched DNA binding"	""	"DNA mismatch repair"	2987222
"Ccel_2470"	2989423	2989782	"-"	"ACL76798.1"	"hypothetical protein"	360	119	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	2989423
"Ccel_2471"	2989833	2990618	"-"	"ACL76799.1"	"inositol monophosphatase"	786	261	6	"F:inositol monophosphate 1-phosphatase activity; P:streptomycin biosynthetic process; P:phosphatidylinositol phosphorylation; F:inositol monophosphate 3-phosphatase activity; P:inositol phosphate dephosphorylation; F:inositol monophosphate 4-phosphatase activity"	"EC:3.1; EC:3.1.3.25; EC:3.1.3.41; EC:3.1.3"	"inositol monophosphatase"	2989833
"Ccel_2472"	2990618	2992330	"-"	"ACL76800.1"	"AMP-dependent synthetase and ligase"	1713	570	2	"P:long-chain fatty acid metabolic process; F:long-chain fatty acid-CoA ligase activity"	"EC:6.2.1.3; EC:6.2.1"	"AMP-dependent synthetase ["	2990618
"Ccel_2473"	2992431	2993216	"-"	"ACL76801.1"	"dihydropteroate synthase DHPS"	786	261	4	"P:methionine biosynthetic process; P:pteridine-containing compound metabolic process; F:methionine synthase activity; P:methylation"	"EC:2.1.1.13; EC:2.1.1"	"Pterin binding enzyme"	2992431
"Ccel_2474"	2993218	2995065	"-"	"ACL76802.1"	"methylenetetrahydrofolate reductase"	1848	615	6	"F:methyltransferase activity; P:oxidation-reduction process; P:tetrahydrofolate metabolic process; F:methylenetetrahydrofolate reductase (NAD(P)H) activity; P:methionine metabolic process; P:methylation"	"EC:1.5.1.20"	"bifunctional homocysteine S-methyltransferase methylenetetrahydrofolate reductase"	2993218
"Ccel_2475"	2995190	2995366	"+"	"ACL76803.1"	"conserved hypothetical protein"	177	58	NA	NA	""	"motility"	2995190
"Ccel_2476"	2995455	2996870	"-"	"ACL76804.1"	"penicillin-binding protein transpeptidase"	1416	471	6	"P:cell division; P:peptidoglycan biosynthetic process; C:peptidoglycan-based cell wall; C:integral component of membrane; F:penicillin binding; F:peptidoglycan glycosyltransferase activity"	"EC:2.4.1.129"	"penicillin-binding"	2995455
"Ccel_2477"	2996895	2998094	"-"	"ACL76805.1"	"cell cycle protein"	1200	399	2	"P:cell division; C:integral component of membrane"	""	"cell division"	2996895
"Ccel_2478"	2998124	2998552	"-"	"ACL76806.1"	"FHA domain containing protein"	429	142	2	"F:protein binding; C:integral component of membrane"	""	"FHA domain-containing"	2998124
"Ccel_2479"	2998820	2999086	"+"	"ACL76807.1"	"protein of unknown function DUF1294"	267	88	2	"F:nucleic acid binding; C:integral component of membrane"	""	"membrane [[Clostridium] papyrosolvens]"	2998820
"Ccel_2480"	2999223	3000728	"+"	"ACL76808.1"	"stage V sporulation protein B"	1506	501	1	"C:integral component of membrane"	""	"stage V sporulation B"	2999223
"Ccel_2481"	3000788	3001411	"+"	"ACL76809.1"	"HAD-superfamily hydrolase, subfamily IA, variant 1"	624	207	2	"P:metabolic process; F:hydrolase activity"	""	"HAD family hydrolase"	3000788
"Ccel_2482"	3001413	3002894	"-"	"ACL76810.1"	"drug resistance transporter, EmrB/QacA subfamily"	1482	493	3	"P:transmembrane transport; C:integral component of membrane; C:plasma membrane"	""	"MFS transporter"	3001413
"Ccel_2483"	3002933	3004267	"-"	"ACL76811.1"	"FAD-dependent pyridine nucleotide-disulphide oxidoreductase"	1335	444	6	"C:cell; P:obsolete electron transport; F:NADH dehydrogenase activity; F:flavin adenine dinucleotide binding; P:cell redox homeostasis; P:oxidation-reduction process"	"EC:1.6.99.3"	"NADH oxidase"	3002933
"Ccel_2484"	3004403	3004795	"-"	"ACL76812.1"	"hemerythrin-like metal-binding protein"	393	130	3	"F:iron ion binding; P:oxygen transport; F:oxygen transporter activity"	""	"bacteriohemerythrin"	3004403
"Ccel_2485"	3005093	3006043	"+"	"ACL76813.1"	"L-lactate dehydrogenase"	951	316	7	"P:gluconeogenesis; F:L-lactate dehydrogenase activity; C:cytoplasm; P:glycolytic process; C:integral component of membrane; P:oxidation-reduction process; P:cysteine metabolic process"	"EC:1.1.1.27"	"L-lactate dehydrogenase"	3005093
"Ccel_2486"	3006098	3007159	"-"	"ACL76814.1"	"3-dehydroquinate synthase"	1062	353	2	"F:glycerol-1-phosphate dehydrogenase [NAD(P)+] activity; P:oxidation-reduction process"	"EC:1.1.1.261"	"glycerol dehydrogenase"	3006098
"Ccel_2487"	3007194	3007853	"-"	"ACL76815.1"	"2,3-diketo-5-methylthio-1-phosphopentane phosphatase"	660	219	2	"F:phosphatase activity; P:dephosphorylation"	"EC:3.1; EC:3.1.3.41"	"2,3-diketo-5-methylthio-1-phosphopentane phosphatase"	3007194
"Ccel_2488"	3008046	3009743	"+"	"ACL76816.1"	"DEAD/DEAH box helicase domain protein"	1698	565	2	"F:nucleic acid binding; F:ATP binding"	""	"---NA---"	3008046
"Ccel_2489"	3010171	3015156	"-"	"ACL76817.1"	"Na-Ca exchanger/integrin-beta4"	4986	1661	2	"P:cell communication; C:integral component of membrane"	""	"---NA---"	3010171
"Ccel_2490"	3015225	3016571	"-"	"ACL76818.1"	"hypothetical protein"	1347	448	NA	NA	""	"---NA---"	3015225
"Ccel_2491"	3016759	3017001	"+"	"ACL76819.1"	"Tail Collar domain protein"	243	80	NA	NA	""	"---NA---"	3016759
"Ccel_2492"	3017095	3017349	"+"	"ACL76820.1"	"Tail Collar domain protein"	255	84	NA	NA	""	"---NA---"	3017095
"Ccel_2493"	3017405	3017650	"+"	"ACL76821.1"	"Tail Collar domain protein"	246	81	NA	NA	""	"---NA---"	3017405
"Ccel_2494"	3017769	3018368	"+"	"ACL76822.1"	"nitroreductase"	600	199	1	"F:oxidoreductase activity"	""	"---NA---"	3017769
"Ccel_2495"	3018394	3018948	"-"	"ACL76823.1"	"Hemerythrin HHE cation binding domain protein"	555	184	NA	NA	""	"---NA---"	3018394
"Ccel_2496"	3018962	3019591	"-"	"ACL76824.1"	"conserved hypothetical protein"	630	209	NA	NA	""	"---NA---"	3018962
"Ccel_2497"	3019726	3020535	"+"	"ACL76825.1"	"alpha/beta hydrolase fold protein"	810	269	1	"F:catalytic activity"	""	"---NA---"	3019726
"Ccel_2498"	3020715	3022223	"+"	"ACL76826.1"	"sodium:neurotransmitter symporter"	1509	502	4	"P:neurotransmitter transport; F:neurotransmitter:sodium symporter activity; P:cation transport; C:integral component of membrane"	""	"---NA---"	3020715
"Ccel_2499"	3022224	3022328	"+"	"ACL76827.1"	"hypothetical protein"	105	34	NA	NA	""	"---NA---"	3022224
"Ccel_2500"	3022362	3022592	"-"	"ACL76828.1"	"small, acid-soluble spore protein tlp"	231	76	NA	NA	""	"---NA---"	3022362
"Ccel_2501"	3022623	3022883	"-"	"ACL76829.1"	"hypothetical protein"	261	86	NA	NA	""	"---NA---"	3022623
"Ccel_2502"	3023211	3024752	"+"	"ACL76830.1"	"hypothetical protein"	1542	513	NA	NA	""	"---NA---"	3023211
"Ccel_2503"	3024775	3025899	"-"	"ACL76831.1"	"aldo/keto reductase"	1125	374	1	"F:iron-sulfur cluster binding"	""	"aldo keto reductase"	3024775
"Ccel_2504"	3025973	3026902	"-"	"ACL76832.1"	"conserved hypothetical protein"	930	309	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3025973
"Ccel_2505"	3027052	3028884	"-"	"ACL76833.1"	"diguanylate cyclase and metal dependent phosphohydrolase"	1833	610	2	"P:metabolic process; F:hydrolase activity"	""	"diguanylate cyclase"	3027052
"Ccel_2506"	3029187	3029387	"+"	"ACL76834.1"	"hypothetical protein"	201	66	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3029187
"Ccel_2507"	3029384	3030052	"-"	"ACL76835.1"	"adenylate cyclase"	669	222	NA	NA	""	"adenylate cyclase [[Clostridium] papyrosolvens]"	3029384
"Ccel_2508"	3030049	3031599	"-"	"ACL76836.1"	"hypothetical protein"	1551	516	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3030049
"Ccel_2509"	3031629	3031877	"-"	"ACL76837.1"	"phosphopantetheine-binding"	249	82	NA	NA	""	"phosphopantetheine-binding [[Clostridium] papyrosolvens]"	3031629
"Ccel_2510"	3031900	3033252	"-"	"ACL76838.1"	"protein of unknown function DUF201"	1353	450	4	"F:ATP binding; F:metal ion binding; P:metabolic process; F:ligase activity"	""	"biotin carboxylase"	3031900
"Ccel_2511"	3033258	3034508	"-"	"ACL76839.1"	"Orn/DAP/Arg decarboxylase 2"	1251	416	2	"F:diaminopimelate decarboxylase activity; P:lysine biosynthetic process via diaminopimelate"	"EC:4.1.1.20"	"diaminopimelate decarboxylase"	3033258
"Ccel_2512"	3034518	3035228	"-"	"ACL76840.1"	"Thioesterase"	711	236	4	"C:fatty acid synthase complex; P:acyl-carrier-protein biosynthetic process; F:acyl-[acyl-carrier-protein] hydrolase activity; P:fatty acid biosynthetic process"	"EC:2.3.1.85; EC:3.1.2.14"	"thioesterase"	3034518
"Ccel_2513"	3035355	3036047	"-"	"ACL76841.1"	"Thymidylate kinase-like protein"	693	230	6	"F:thymidylate kinase activity; F:ATP binding; P:nucleotide phosphorylation; P:pyrimidine nucleobase metabolic process; P:dTDP biosynthetic process; P:dTTP biosynthetic process"	"EC:2.7.4.9"	"thymidylate kinase"	3035355
"Ccel_2514"	3036133	3037242	"-"	"ACL76842.1"	"UDP-glucuronosyltransferase"	1110	369	3	"P:metabolic process; C:integral component of membrane; F:transferase activity"	""	"UDP-glucuronosyltransferase [ [[Clostridium] papyrosolvens C7]"	3036133
"Ccel_2515"	3037286	3038443	"-"	"ACL76843.1"	"hypothetical protein"	1158	385	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3037286
"Ccel_2516"	3038459	3039973	"-"	"ACL76844.1"	"AMP-dependent synthetase and ligase"	1515	504	2	"P:long-chain fatty acid metabolic process; F:long-chain fatty acid-CoA ligase activity"	"EC:6.2.1.3; EC:6.2.1"	"Long-chain-fatty-acid-- ligase"	3038459
"Ccel_2517"	3039991	3041130	"-"	"ACL76845.1"	"hypothetical protein"	1140	379	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3039991
"Ccel_2518"	3041156	3041407	"-"	"ACL76846.1"	"phosphopantetheine-binding"	252	83	5	"C:cytoplasm; P:lipid metabolic process; P:fatty acid biosynthetic process; P:fatty acid metabolic process; F:ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process"	""	"acyl carrier"	3041156
"Ccel_2519"	3041435	3043006	"-"	"ACL76847.1"	"5'-Nucleotidase domain protein"	1572	523	4	"F:nucleotide binding; P:nucleotide catabolic process; C:integral component of membrane; F:hydrolase activity"	""	"UDP-sugar hydrolase"	3041435
"Ccel_2520"	3043025	3043864	"-"	"ACL76848.1"	"protein of unknown function DUF990"	840	279	1	"C:integral component of membrane"	""	"ABC transporter permease"	3043025
"Ccel_2521"	3043868	3044656	"-"	"ACL76849.1"	"protein of unknown function DUF990"	789	262	1	"C:integral component of membrane"	""	"ABC transporter permease"	3043868
"Ccel_2522"	3044631	3045641	"-"	"ACL76850.1"	"ABC transporter related"	1011	336	3	"F:ATPase activity; F:ATP binding; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"sugar ABC transporter ATP-binding"	3044631
"Ccel_2523"	3045857	3046399	"-"	"ACL76851.1"	"transcriptional regulator, LuxR family"	543	180	2	"F:DNA binding; P:regulation of transcription, DNA-templated"	""	"helix-turn-helix transcriptional regulator"	3045857
"Ccel_2524"	3046396	3046659	"-"	"ACL76852.1"	"regulatory protein, LuxR"	264	87	3	"F:DNA binding; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated"	""	"regulatory [[Clostridium] cellulolyticum H10]"	3046396
"Ccel_2525"	3046982	3048115	"-"	"ACL76853.1"	"beta-lactamase"	1134	377	NA	NA	""	"serine hydrolase"	3046982
"Ccel_2526"	3048264	3050306	"-"	"ACL76854.1"	"methyl-accepting chemotaxis sensory transducer"	2043	680	4	"F:protein binding; P:signal transduction; C:integral component of membrane; F:signal transducer activity"	""	"methyl-accepting chemotaxis"	3048264
"Ccel_2527"	3050899	3051429	"+"	"ACL76855.1"	"transcriptional regulator, TetR family"	531	176	2	"F:DNA binding; P:regulation of transcription, DNA-templated"	""	"transcriptional regulator"	3050899
"Ccel_2528"	3051474	3053246	"+"	"ACL76856.1"	"drug resistance transporter, EmrB/QacA subfamily"	1773	590	4	"P:transmembrane transport; C:integral component of membrane; C:plasma membrane; F:transporter activity"	""	"permease"	3051474
"Ccel_2529"	3053432	3056266	"-"	"ACL76857.1"	"hypothetical protein"	2835	944	4	"P:carbohydrate metabolic process; C:integral component of membrane; F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:cellular process"	""	"endo-1,4-beta-xylanase A precursor ["	3053432
"Ccel_2530"	3056289	3057527	"-"	"ACL76858.1"	"Ricin B lectin"	1239	412	3	"P:polysaccharide catabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding"	""	"Ricin B lectin [[Clostridium] cellulolyticum H10]"	3056289
"Ccel_2531"	3057606	3057962	"-"	"ACL76859.1"	"hypothetical protein"	357	118	1	"C:integral component of membrane"	""	"Uncharacterised"	3057606
"Ccel_2532"	3058132	3058422	"-"	"ACL76860.1"	"hypothetical protein"	291	96	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3058132
"Ccel_2533"	3058505	3059494	"-"	"ACL76861.1"	"diaminopimelate dehydrogenase"	990	329	6	"P:obsolete electron transport; F:diaminopimelate dehydrogenase activity; P:lysine biosynthetic process via diaminopimelate; F:4-hydroxy-tetrahydrodipicolinate reductase; P:oxidation-reduction process; P:diaminopimelate biosynthetic process"	"EC:1.4.1.16; EC:1.17.1.8"	"diaminopimelate dehydrogenase"	3058505
"Ccel_2534"	3059527	3060777	"-"	"ACL76862.1"	"diaminopimelate decarboxylase"	1251	416	3	"F:diaminopimelate decarboxylase activity; F:pyridoxal phosphate binding; P:lysine biosynthetic process via diaminopimelate"	"EC:4.1.1.20"	"diaminopimelate decarboxylase"	3059527
"Ccel_2535"	3060809	3061501	"-"	"ACL76863.1"	"transcriptional regulator, TrmB"	693	230	NA	NA	""	"family transcriptional regulator"	3060809
"Ccel_2536"	3061580	3062842	"-"	"ACL76864.1"	"hypothetical protein"	1263	420	1	"C:integral component of membrane"	""	"DUF4129 domain-containing ["	3061580
"Ccel_2537"	3062842	3063924	"-"	"ACL76865.1"	"protein of unknown function DUF58"	1083	360	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3062842
"Ccel_2538"	3063933	3064877	"-"	"ACL76866.1"	"ATPase associated with various cellular activities AAA_3"	945	314	3	"F:ATPase activity; F:ATP binding; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"magnesium chelatase"	3063933
"Ccel_2539"	3064942	3065316	"-"	"ACL76867.1"	"permease"	375	124	2	"C:integral component of membrane; C:plasma membrane"	""	"permease"	3064942
"Ccel_2540"	3065340	3065711	"-"	"ACL76868.1"	"permease"	372	123	2	"C:integral component of membrane; C:plasma membrane"	""	"permease"	3065340
"Ccel_2541"	3065903	3067081	"+"	"ACL76869.1"	"protein of unknown function UPF0118"	1179	392	1	"C:integral component of membrane"	""	"AI-2E family transporter"	3065903
"Ccel_2542"	3067084	3068223	"-"	"ACL76870.1"	"metallophosphoesterase"	1140	379	3	"P:metabolic process; C:integral component of membrane; F:hydrolase activity"	""	"metallophosphoesterase"	3067084
"Ccel_2543"	3068437	3069426	"+"	"ACL76871.1"	"hypothetical protein"	990	329	2	"C:membrane; C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3068437
"Ccel_2544"	3069493	3069933	"-"	"ACL76872.1"	"flavodoxin/nitric oxide synthase"	441	146	3	"P:obsolete electron transport; F:FMN binding; F:electron carrier activity"	""	"nitric oxide synthase ["	3069493
"Ccel_2545"	3069973	3071367	"-"	"ACL76873.1"	"glutamate synthase (NADPH), homotetrameric"	1395	464	6	"P:obsolete electron transport; P:glutamate biosynthetic process; F:glutamate synthase (NADH) activity; P:oxidation-reduction process; F:glutamate synthase (NADPH) activity; F:iron-sulfur cluster binding"	"EC:1.4.1.14; EC:1.4; EC:1.4.1.13; EC:1.4.1"	"glutamate synthase (NADPH) homotetrameric"	3069973
"Ccel_2546"	3071360	3072205	"-"	"ACL76874.1"	"oxidoreductase FAD/NAD(P)-binding domain protein"	846	281	6	"P:obsolete electron transport; F:flavin adenine dinucleotide binding; P:oxidation-reduction process; P:pyrimidine nucleotide biosynthetic process; F:2 iron, 2 sulfur cluster binding; F:ferredoxin-NADP+ reductase activity"	"EC:1.18.1; EC:1.18.1.2"	"ferredoxin-NADP+ reductase subunit alpha"	3071360
"Ccel_2547"	3072339	3073244	"-"	"ACL76875.1"	"peptidase M50"	906	301	3	"P:proteolysis; C:integral component of membrane; F:metalloendopeptidase activity"	"EC:3.4.24"	"peptidase M50"	3072339
"Ccel_2548"	3073273	3074130	"-"	"ACL76876.1"	"Peptidase M23"	858	285	1	"C:integral component of membrane"	""	"peptidase M23"	3073273
"Ccel_2549"	3074307	3075323	"+"	"ACL76877.1"	"DNA-cytosine methyltransferase"	1017	338	4	"F:DNA (cytosine-5-)-methyltransferase activity; P:C-5 methylation of cytosine; P:DNA restriction-modification system; P:methionine metabolic process"	"EC:2.1.1.37; EC:2.1.1"	"DNA (cytosine-5-)-methyltransferase"	3074307
"Ccel_2550"	3075343	3075597	"+"	"ACL76878.1"	"hypothetical protein"	255	84	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	3075343
"Ccel_2551"	3075788	3076834	"+"	"ACL76879.1"	"Integrase catalytic region"	1047	348	2	"F:DNA binding; P:DNA integration"	""	"Integrase catalytic region [[Clostridium] cellulolyticum H10]"	3075788
"Ccel_2552"	3076992	3077345	"+"	"ACL76880.1"	"hypothetical protein"	354	117	4	"F:DNA (cytosine-5-)-methyltransferase activity; P:C-5 methylation of cytosine; P:DNA restriction-modification system; P:methionine metabolic process"	"EC:2.1.1.37; EC:2.1.1"	"DNA (cytosine-5-)-methyltransferase"	3076992
"Ccel_2553"	3077491	3078537	"-"	"ACL76881.1"	"Integrase catalytic region"	1047	348	2	"F:DNA binding; P:DNA integration"	""	"Integrase catalytic region [[Clostridium] cellulolyticum H10]"	3077491
"Ccel_2554"	3078625	3078972	"-"	"ACL76882.1"	"hypothetical protein"	348	115	4	"F:DNA (cytosine-5-)-methyltransferase activity; P:C-5 methylation of cytosine; P:DNA restriction-modification system; P:methionine metabolic process"	"EC:2.1.1.37; EC:2.1.1"	"DNA (cytosine-5-)-methyltransferase"	3078625
"Ccel_2555"	3078987	3079133	"-"	"ACL76883.1"	"hypothetical protein"	147	48	NA	NA	""	"hypothetical protein Ccel_2555 ["	3078987
"Ccel_2556"	3079106	3079498	"-"	"ACL76884.1"	"MGS domain protein"	393	130	3	"F:methylglyoxal synthase activity; P:methylglyoxal biosynthetic process; P:pyruvate metabolic process"	"EC:4.2.3.3"	"methylglyoxal synthase"	3079106
"Ccel_2557"	3079523	3079807	"-"	"ACL76885.1"	"cell division topological specificity factor MinE"	285	94	1	"P:regulation of barrier septum assembly"	""	"cell division topological specificity factor"	3079523
"Ccel_2558"	3079822	3080622	"-"	"ACL76886.1"	"septum site-determining protein MinD"	801	266	4	"F:ATPase activity; F:ATP binding; P:barrier septum site selection; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"septum site-determining"	3079822
"Ccel_2559"	3080792	3081481	"-"	"ACL76887.1"	"septum site-determining protein MinC"	690	229	3	"P:barrier septum assembly; P:regulation of cell septum assembly; P:cell morphogenesis"	""	"septum site-determining"	3080792
"Ccel_2560"	3081522	3083624	"-"	"ACL76888.1"	"penicillin-binding protein 2"	2103	700	5	"P:peptidoglycan biosynthetic process; C:peptidoglycan-based cell wall; C:integral component of membrane; F:penicillin binding; F:peptidoglycan glycosyltransferase activity"	"EC:2.4.1.129"	"penicillin-binding 2"	3081522
"Ccel_2561"	3083668	3084180	"-"	"ACL76889.1"	"rod shape-determining protein MreD"	513	170	2	"P:regulation of cell shape; C:integral component of membrane"	""	"rod shape-determining"	3083668
"Ccel_2562"	3084177	3085037	"-"	"ACL76890.1"	"rod shape-determining protein MreC"	861	286	1	"P:regulation of cell shape"	""	"rod shape-determining"	3084177
"Ccel_2563"	3085084	3086106	"-"	"ACL76891.1"	"cell shape determining protein, MreB/Mrl family"	1023	340	1	"P:cell morphogenesis"	""	"rod shape-determining"	3085084
"Ccel_2564"	3086133	3086822	"-"	"ACL76892.1"	"DNA repair protein RadC"	690	229	1	"F:DNA binding"	""	"DNA repair"	3086133
"Ccel_2565"	3087008	3087589	"-"	"ACL76893.1"	"maf protein"	582	193	3	"C:cell septum; P:barrier septum assembly; C:cytoplasm"	""	"septum formation Maf"	3087008
"Ccel_2566"	3087872	3088486	"+"	"ACL76894.1"	"Negative regulator of genetic competence"	615	204	NA	NA	""	"adaptor [[Clostridium] papyrosolvens]"	3087872
"Ccel_2567"	3088542	3089612	"-"	"ACL76895.1"	"tartrate dehydrogenase"	1071	356	10	"F:magnesium ion binding; P:isoleucine biosynthetic process; F:D-malate dehydrogenase (decarboxylating) activity; F:NAD binding; P:glyoxylate metabolic process; P:valine biosynthetic process; P:leucine biosynthetic process; F:tartrate dehydrogenase activity; P:tricarboxylic acid cycle; F:3-isopropylmalate dehydrogenase activity"	"EC:1.1.1.85; EC:1.1.1.83; EC:1.1.1.93"	"tartrate dehydrogenase"	3088542
"Ccel_2568"	3089763	3092102	"-"	"ACL76896.1"	"ATP-dependent protease La"	2340	779	8	"F:ATP binding; P:misfolded or incompletely synthesized protein catabolic process; C:cytoplasm; F:serine-type endopeptidase activity; P:cellular response to stress; F:sequence-specific DNA binding; F:ATP-dependent peptidase activity; P:obsolete ATP-dependent proteolysis"	"EC:3.4.21; EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"endopeptidase La ["	3089763
